disease,Localized Pain,Mobility and Muscular Issues,Gastrointestinal Discomfort,Localized Swelling,Cardiac Symptoms,Cognitive or Neurological Issues,Temperature Regulation Issues,Localized Tenderness,Skin Irritation or Abnormalities,Infections,Bleeding or Blood-Related Symptoms,Fatigue or Low Energy,Appetite and Weight Changes,Miscellaneous,Respiratory Issues,Sensory Issues,Vision and Hearing Issues,Mood and Behavioral Change,Bowel and Bladder Issues,Hair and Nail Abnormalities,Developmental Issues,urge to move
Labyrinthitis,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Abdominal aortic aneurysm,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute lymphoblastic leukaemia,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Fragility fracture of the hip,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Vaginal discharge,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Malignant brain tumour (cancerous),1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concussion,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Severe head injury,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muscular dystrophy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Soft tissue sarcomas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raynaud’s phenomenon,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Heart block,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Discoid eczema,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningitis,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ewing sarcoma,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Psoriasis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver tumours,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Constipation,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cerebral palsy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penile cancer,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Chronic obstructive pulmonary disease (COPD),0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brain tumours,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Slapped cheek syndrome,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Coronavirus (COVID-19),1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Vomiting in children and babies,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Prostate cancer,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Stroke,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bowel cancer,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Vitamin B12 or folate deficiency anaemia,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
Chest infection,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Nasal and sinus cancer,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Parkinson’s disease,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint hypermobility,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Diverticular disease and diverticulitis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polymyalgia rheumatica,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Ebola virus disease,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Meningitis,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kidney infection,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Whooping cough,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Schizophrenia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Patau’s syndrome,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Multiple system atrophy (MSA),0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Haemorrhoids (piles),1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Liver cancer,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Benign prostate enlargement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Huntington’s disease,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dysphagia (swallowing problems),1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Cough,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Chest infection,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Catarrh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Mouth cancer,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Paget’s disease of the nipple,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Brain tumours,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lupus,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Respiratory syncytial virus (RSV),0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ankylosing spondylitis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postural orthostatic tachycardia syndrome (PoTS),0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ovarian cancer,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Ovarian cancer,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Myasthenia gravis,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hodgkin lymphoma,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Acute myeloid leukaemia,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Acute lymphoblastic leukaemia,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Hodgkin lymphoma,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Earwax build-up,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gout,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Headaches,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulitis,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ringworm and other fungal infections,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vomiting in children and babies,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Testicular cancer,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Attention deficit hyperactivity disorder (ADHD),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Head lice and nits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Progressive supranuclear palsy (PSP),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anal cancer,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Ewing sarcoma,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
High cholesterol,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thyroid cancer,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Long-term effects of COVID-19,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Overactive thyroid,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Iron deficiency anaemia,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
Norovirus,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Common cold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bone cancer,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pelvic organ prolapse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Achilles tendinopathy,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soft tissue sarcomas,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polio,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lupus,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Rhabdomyosarcoma,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Type 2 diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Gastroenteritis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chlamydia,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Deafblindness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Testicular lumps and swellings,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spina bifida,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Brain stem death,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fever in adults,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Liver tumours,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Sickle cell disease,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dizziness (Lightheadedness),0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vaginal cancer,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Erectile dysfunction (impotence),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sickle cell disease,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Syphilis,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Hepatitis A,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Fibroids,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Multiple system atrophy (MSA),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Atrial fibrillation,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abdominal aortic aneurysm,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiplash,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paget’s disease of the nipple,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver disease,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Atrial fibrillation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Neuroblastoma,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Crohn’s disease,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mouth cancer,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Raynaud’s phenomenon,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Womb (uterus) cancer,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Pancreatic cancer,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Common cold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pregnancy and baby,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Prostate cancer,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Rare tumours,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Concussion,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coronary heart disease,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yellow fever,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Urinary tract infection (UTI) in children,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Streptococcus A (strep A),1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Post-concussion syndrome,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Erectile dysfunction (impotence),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Itching,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint hypermobility,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cardiovascular disease,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Polycystic ovary syndrome (PCOS),0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
Gastro-oesophageal reflux disease (GORD),1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eating disorders,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Frozen shoulder,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Headaches,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fever in adults,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Catarrh,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Tuberculosis (TB),0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mesothelioma,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Achilles tendinopathy,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Personality disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coronavirus (COVID-19),1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Patellofemoral pain syndrome,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patellofemoral pain syndrome,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genital herpes,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Chronic myeloid leukaemia,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Postural orthostatic tachycardia syndrome (PoTS),0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Obstructive sleep apnoea,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Slapped cheek syndrome,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Food allergy,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Golfer's elbow,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart failure,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Pancreatic cancer,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Testicular cancer,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lipoedema,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Urinary tract infection (UTI),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Thirst,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ebola virus disease,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Long-term effects of COVID-19,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Dystonia,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint hypermobility,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stomach ache and abdominal pain,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Post-concussion syndrome,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Genital herpes,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Tinnitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eye cancer,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Respiratory syncytial virus (RSV),0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Testicular cancer,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Leg cramps,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loss of libido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Testicular cancer,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Achilles tendinopathy,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croup,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brain tumours,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Polio,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Labyrinthitis,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tinnitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Atopic eczema,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Impetigo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulmonary hypertension,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Muscular dystrophy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Motor neurone disease (MND),0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Kidney infection,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Acute lymphoblastic leukaemia,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Urinary tract infection (UTI),1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
Hay fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Bone cancer,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Liver disease,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Bunion,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Foetal alcohol syndrome,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Coronavirus (COVID-19),0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Genital herpes,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Down’s syndrome,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
High blood pressure (hypertension),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigeminal neuralgia,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sunburn,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermatitis herpetiformis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chest and rib injury,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ringworm and other fungal infections,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriatic arthritis,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pubic lice,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Spleen problems and spleen removal,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Type 2 diabetes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
Lipoedema,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bulimia,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Thyroid cancer,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Testicular cancer,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Progressive supranuclear palsy (PSP),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Syphilis,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Testicular cancer,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Motor neurone disease (MND),0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cold sore,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cerebral palsy,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costochondritis,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tuberculosis (TB),0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Hodgkin lymphoma,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ewing sarcoma,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Polycystic ovary syndrome (PCOS),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
Ulcerative colitis,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Ringworm and other fungal infections,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasopharyngeal cancer,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Post-concussion syndrome,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Thyroid cancer,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bladder cancer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lymphoedema,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chronic fatigue syndrome,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Neuroblastoma,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Penile cancer,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Post-concussion syndrome,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bladder cancer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hand, foot and mouth disease",1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Dementia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sunburn,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pneumonia,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Oesophageal cancer,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Kidney stones,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Yellow fever,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Hyperhidrosis,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Epilepsy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vomiting in adults,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penile cancer,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Cold sore,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Atopic eczema,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zika virus,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Long-term effects of COVID-19,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ankylosing spondylitis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactose intolerance,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Germ cell tumours,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Dysphagia (swallowing problems),1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
